,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
0,02-01-2019,14,14.63,13.98,14.28,14.28,1902100,0.5,0.510933426,0,0,0
1,03-01-2019,14.19,14.2,12.85,12.95,12.95,5032900,0.513571429,0.515372934,1,1,0
2,04-01-2019,13.45,13.89,13.4,13.7,13.7,2971900,0.447850599,0.487140676,0,1,1
3,07-01-2019,13.94,14.37,13.74,14.27,14.27,2358000,0.536431227,0.499284418,1,1,0
4,08-01-2019,14.515,15.1,14.4,14.78,14.78,4795200,0.541248207,0.508510011,1,1,0
5,09-01-2019,14.04,16.370001,14.01,15.75,15.75,7953100,0.467275233,0.514984889,0,1,1
6,10-01-2019,15.4,16.6,15.3,16.26,16.26,5974600,0.596866097,0.535129845,1,1,0
7,11-01-2019,16.02,16.09,15.29,15.36,15.36,4050200,0.54025974,0.534800357,1,0,1
8,14-01-2019,15.2,15.37,14.71,15.06,15.06,2387300,0.448813983,0.528646607,0,1,1
9,15-01-2019,15.33,15.8,15.23,15.51,15.51,3143300,0.508552632,0.499208785,1,1,0
10,16-01-2019,15.77,16.15,15.56,16.030001,16.030001,4317900,0.528701892,0.495356169,1,1,0
11,17-01-2019,15.9,16.82,15.75,16.530001,16.530001,3893900,0.5082435,0.515166008,1,1,0
12,18-01-2019,16.860001,17.09,16.6,16.709999,16.709999,3635100,0.560377421,0.532440938,1,0,1
13,22-01-2019,16.16,16.190001,15.75,15.93,15.93,4492900,0.458481556,0.509034159,0,1,1
14,23-01-2019,16.190001,16.370001,15.84,15.95,15.95,3083100,0.501856498,0.506905158,1,1,0
15,24-01-2019,16.09,17.18,16,16.889999,16.889999,4376000,0.493823286,0.484720447,0,1,1
16,25-01-2019,17.219999,17.5,16.969999,17.440001,17.440001,3764300,0.570229894,0.521969893,1,1,0
17,28-01-2019,17.139999,18.16,16.799999,17.98,17.98,4097100,0.495354239,0.519802473,0,1,1
18,29-01-2019,17.99,18.379999,17.67,17.84,17.84,6344300,0.54959166,0.538391931,1,1,0
19,30-01-2019,18.190001,18.299999,17.68,17.76,17.76,2807300,0.511117343,0.518687747,1,1,0
20,31-01-2019,18.280001,18.459999,17.959999,18.41,18.41,5100000,0.504947773,0.521885592,1,0,1
21,01-02-2019,18.299999,18.610001,17.75,17.83,17.83,3082300,0.501093982,0.5057197,1,0,1
22,04-02-2019,17.889999,18.049999,17.469999,17.700001,17.700001,2415500,0.477595627,0.494545794,0,1,1
23,05-02-2019,17.76,18.434999,17.66,18.209999,18.209999,2056400,0.492733426,0.490474345,0,0,0
24,06-02-2019,18.190001,18.48,18.07,18.209999,18.209999,2865400,0.524211768,0.498180274,1,0,1
25,07-02-2019,17.99,18.065001,16.99,17.18,17.18,4054700,0.489004893,0.501983363,0,0,0
26,08-02-2019,16.99,17.65,16.43,17.459999,17.459999,1702700,0.444413563,0.485876742,0,1,1
27,11-02-2019,17.825001,17.950001,17.15,17.290001,17.290001,2375000,0.549146616,0.494188357,1,1,0
28,12-02-2019,17.51,18.209999,17.51,17.860001,17.860001,3905300,0.482328136,0.491962771,0,1,1
29,13-02-2019,18.110001,18.5,17.964001,18.200001,18.200001,2499700,0.534266191,0.521913647,1,1,0
30,14-02-2019,18.82,19.200001,18.379999,18.92,18.92,6906900,0.539204802,0.518599709,1,0,1
31,15-02-2019,18.5,18.51,17.719999,17.74,17.74,6522000,0.482996812,0.518822601,0,0,0
32,19-02-2019,17.809999,18.219999,17.77,17.799999,17.799999,3313400,0.462702649,0.494968087,0,1,1
33,20-02-2019,18.030001,18.75,18.02,18.309999,18.309999,5234800,0.512352724,0.486017395,1,1,0
34,21-02-2019,18.459999,18.68,17.93,18.139999,18.139999,3018500,0.523849028,0.4996348,1,1,0
35,22-02-2019,18.450001,19.549999,18.424999,19.48,19.48,7639100,0.499458397,0.511886716,0,1,1
36,25-02-2019,20.5,21,19.559999,20.26,20.26,8690200,0.611111051,0.544806158,1,1,0
37,26-02-2019,19.67,19.98,19.049999,19.73,19.73,4507000,0.459512195,0.523360548,0,0,0
38,27-02-2019,19.99,20.049999,19.43,19.860001,19.860001,5961000,0.516268429,0.528963892,1,0,1
39,28-02-2019,20.9,21.5,18.540001,18.98,18.98,17474500,0.545522761,0.507101129,1,0,1
40,01-03-2019,19.110001,19.200001,17.92,17.98,17.98,9815700,0.414354115,0.492048435,0,0,0
41,04-03-2019,17.629999,19,17.57,18.82,18.82,10394200,0.422553536,0.460810137,0,1,1
42,05-03-2019,18.66,19.32,18.268999,19.139999,19.139999,4526000,0.558423202,0.465110284,1,0,1
43,06-03-2019,19,19.129999,18.514999,18.66,18.66,4299400,0.518220793,0.499732511,1,0,1
44,07-03-2019,18.4,18.6,17.67,17.799999,17.799999,3946600,0.468421053,0.515021683,0,0,0
45,08-03-2019,17.209999,18.200001,17.15,17.940001,17.940001,3441200,0.435326033,0.473989293,0,1,1
46,11-03-2019,18.120001,18.620001,17.969999,18.6,18.6,4642200,0.552876354,0.485541146,1,1,0
47,12-03-2019,18.709999,19.26,18.629999,18.9,18.9,3295500,0.532560594,0.506920994,1,1,0
48,13-03-2019,18.9,19.1,18.174999,18.200001,18.200001,3825900,0.510155051,0.531864,1,0,1
49,14-03-2019,18.299999,18.6,18.18,18.5,18.5,1640100,0.468253915,0.50365652,0,1,1
50,15-03-2019,18.59,18.83,18.5,18.709999,18.709999,2184100,0.51584705,0.498085339,1,1,0
51,18-03-2019,18.91,18.950001,18.370001,18.5,18.5,2295800,0.517213556,0.500438174,1,0,1
52,19-03-2019,18.57,19,18.450001,18.65,18.65,3482500,0.482020095,0.5050269,0,0,0
53,20-03-2019,18.620001,18.65,17.719999,17.75,17.75,5205700,0.502692569,0.500642073,1,0,1
54,21-03-2019,17.77,18.056999,17.549999,17.709999,17.709999,4727100,0.45435011,0.479687591,0,0,0
55,22-03-2019,17.6,17.690001,17.200001,17.209999,17.209999,4250900,0.490433315,0.482491998,0,1,1
56,25-03-2019,17.110001,17.809999,17.049999,17.59,17.59,1901400,0.472159148,0.472314191,0,1,1
57,26-03-2019,17.65,17.9,17.610001,17.700001,17.700001,2688100,0.531560431,0.498050964,1,1,0
58,27-03-2019,17.709999,17.98,17.5,17.709999,17.709999,5441800,0.503399377,0.502372985,1,1,0
59,28-03-2019,17.75,18.200001,17.67,18.1,18.1,3835200,0.502258668,0.512406158,1,1,0
60,29-03-2019,18.41,18.969999,17.83,18.950001,18.950001,6273500,0.537183099,0.514280381,1,1,0
61,01-04-2019,19.24,19.299999,18.16,18.799999,18.799999,5938400,0.545084193,0.52817532,1,0,1
62,02-04-2019,18.389999,18.59,17.99,18.049999,18.049999,9102700,0.455821154,0.512696149,0,0,0
63,03-04-2019,18.27,18.6,17.98,18.08,18.08,21655900,0.493474769,0.498126705,0,0,0
64,04-04-2019,18.030001,18.190001,16.921,17.23,17.23,11660000,0.486863766,0.478719896,0,0,0
65,05-04-2019,17.389999,18.25,17.24,18.02,18.02,7908800,0.464503496,0.48161401,0,1,1
66,08-04-2019,17.940001,18.135,17.690001,17.91,17.91,5201500,0.531627489,0.494331584,1,1,0
67,09-04-2019,17.92,17.959999,17.77,17.84,17.84,2435300,0.498885117,0.498338701,0,0,0
68,10-04-2019,17.99,17.99,17.42,17.629999,17.629999,2902900,0.50390625,0.511472952,1,1,0
69,11-04-2019,17.5,17.77,17.379999,17.469999,17.469999,3652900,0.472762646,0.491851338,0,1,1
70,12-04-2019,17.82,18.52,17.68,18.32,18.32,7307200,0.518285714,0.498318203,1,0,1
71,15-04-2019,18.08,18.15,16.879999,17.18,17.18,8859100,0.514590348,0.501879569,1,0,1
72,16-04-2019,17.49,17.549999,17,17.1,17.1,4515100,0.467367257,0.500081106,0,0,0
73,17-04-2019,17.26,17.299999,16.709999,16.93,16.93,5296400,0.486849628,0.489602411,0,0,0
