,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
0,02-01-2019,95.949997,99.779999,95.940002,99.309998,97.76194,15670900,0.5,0.510933426,0,1,1
1,03-01-2019,98.639999,98.889999,96.690002,97.110001,96.372574,16282700,0.528035457,0.515372934,1,1,0
2,04-01-2019,99.110001,100.93,98.279999,100.690002,99.925385,16935200,0.504764822,0.510933426,1,1,0
3,07-01-2019,100.43,101.470001,99.709999,100.760002,99.994858,15430700,0.513318525,0.515372934,1,1,0
4,08-01-2019,101.629997,101.82,99.550003,100.57,99.806297,13578800,0.511948591,0.510010646,1,0,1
5,09-01-2019,100.809998,101.489998,99.93,100.400002,99.637589,14230300,0.491931526,0.505732881,0,0,0
6,10-01-2019,100.019997,100.730003,99.269997,100.389999,99.627663,14376100,0.492163466,0.498681194,0,0,0
7,11-01-2019,99.889999,100.169998,98.949997,99.910004,99.151314,15439900,0.49870028,0.494265091,0,1,1
8,14-01-2019,98.870003,101.360001,98.660004,100.940002,100.173492,21258500,0.489788808,0.493550851,0,1,1
9,15-01-2019,98.889999,102.470001,98.599998,101.68,100.907867,26504900,0.500202245,0.496230444,1,1,0
10,16-01-2019,102.25,103.449997,101.800003,102.5,101.721642,18533000,0.533977157,0.507989403,1,1,0
11,17-01-2019,102.110001,103.5,101.919998,102.919998,102.138451,14247600,0.498630817,0.51093674,0,1,1
12,18-01-2019,103.769997,104.900002,102.830002,104.589996,103.795769,16428700,0.516256938,0.516288304,1,0,1
13,22-01-2019,103.080002,103.589996,102.129997,102.940002,102.158302,17083700,0.493350727,0.502746161,0,0,0
14,23-01-2019,103.440002,103.699997,101.970001,102.68,101.900276,12146700,0.503492433,0.5043667,1,0,1
15,24-01-2019,102.129997,103.089996,101.940002,102.739998,101.959816,11296800,0.487335605,0.494726255,0,1,1
16,25-01-2019,103.510002,104.309998,102.739998,103.389999,102.604881,14369400,0.51351224,0.501446759,1,1,0
17,28-01-2019,102.889999,104.239998,102.589996,103.879997,103.091156,12283100,0.494010212,0.498286019,0,1,1
18,29-01-2019,103.879997,105.110001,103.730003,104.169998,103.37896,9743300,0.509621907,0.505714786,1,1,0
19,30-01-2019,104.139999,105.239998,103.779999,104.410004,103.617142,12526300,0.502502907,0.502045009,1,0,1
20,31-01-2019,103.410004,103.800003,102.730003,103.5,102.71405,17520600,0.492990253,0.501705023,0,1,1
21,01-02-2019,104,104.849998,103.519997,103.879997,103.091156,13000800,0.505705405,0.500399522,1,1,0
22,04-02-2019,103.790001,104.25,103.010002,104.25,103.458351,9871500,0.497980779,0.498892146,0,0,0
23,05-02-2019,104.519997,104.550003,103.290001,103.790001,103.001846,12763000,0.507033394,0.503573193,1,0,1
24,06-02-2019,103.709999,104.620003,103.470001,103.739998,102.952225,8745000,0.492250306,0.49908816,0,0,0
25,07-02-2019,103.25,103.5,101.440002,102.379997,101.602547,13177500,0.495564565,0.498282755,0,0,0
26,08-02-2019,102.080002,102.339996,100.059998,101.360001,100.590302,12892600,0.4886683,0.492161057,0,0,0
27,11-02-2019,101.760002,102.010002,100.769997,100.879997,100.113937,10978500,0.496865204,0.493699356,0,1,1
28,12-02-2019,101.949997,102.919998,101.889999,102.599998,101.820877,12852300,0.501867089,0.495800198,1,1,0
29,13-02-2019,102.900002,103.849998,102.900002,103.089996,102.307159,10754100,0.509318343,0.502683545,1,1,0
30,14-02-2019,102.470001,103.099998,101.349998,102.419998,101.642242,11518500,0.495821176,0.502335536,0,1,1
31,15-02-2019,103.900002,105.699997,103.660004,105.550003,104.748482,14716900,0.513955314,0.506364944,1,1,0
32,19-02-2019,104.910004,105.370003,103.809998,105.18,104.381287,12764900,0.509720905,0.506499131,1,1,0
33,20-02-2019,105.209999,105.800003,104.879997,105.690002,104.887421,10030300,0.502859546,0.508845255,1,1,0
