,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
0,17-05-2019,25,25.959999,18.809999,20.379999,20.379999,38729158,0.5,0.510933426,0,0,0
1,20-05-2019,21.02,21.02,18.4,18.610001,18.610001,8186600,0.3408,0.515372934,0,0,0
2,21-05-2019,18.59,18.74,17.33,17.33,17.33,8572300,0.384395814,0.408398605,0,0,0
3,22-05-2019,17,17.33,14.7,14.75,14.75,19697300,0.414470145,0.379888653,0,0,0
4,23-05-2019,14.47,15.95,13.71,15.79,15.79,9626500,0.351176471,0.383347476,0,1,1
5,24-05-2019,15.44,15.7,14.77,15.32,15.32,4829800,0.567035245,0.444227287,1,1,0
6,28-05-2019,15.38,16.32,15.28,16.110001,16.110001,4576400,0.49611399,0.471441902,0,1,1
7,29-05-2019,16,17.780001,15.99,17.25,17.25,7583500,0.540312094,0.53448711,1,1,0
8,30-05-2019,17.610001,18.75,17.445,18.5,18.5,8872800,0.600625063,0.545683715,1,1,0
9,31-05-2019,18.4,20.389999,17.75,20.1,20.1,7524000,0.544860815,0.561932657,1,1,0
10,03-06-2019,21.5,22.299999,20.1,20.629999,20.629999,10498900,0.668478261,0.604654713,1,0,1
11,04-06-2019,21,21.07,19.059999,19.790001,19.790001,5814000,0.476744186,0.563361087,0,0,0
12,05-06-2019,19.93,20.16,17.809999,18.65,18.65,5083600,0.449047619,0.531423355,0,0,0
13,06-06-2019,18.02,18.190001,17.129999,17.68,17.68,3971500,0.404164576,0.443318794,0,1,1
14,07-06-2019,18,19.030001,17.809999,18.99,18.99,4788700,0.498890122,0.450700772,0,1,1
15,10-06-2019,19.200001,19.290001,18.32,18.450001,18.450001,3572700,0.566666722,0.48990714,1,0,1
16,11-06-2019,18.75,18.76,17.25,17.6,17.6,4116100,0.476562449,0.514039764,0,0,0
17,12-06-2019,17.93,18.65,17.6,18.190001,18.190001,3328500,0.456266667,0.499831946,0,1,1
18,13-06-2019,18.530001,18.839001,17.67,17.959999,17.959999,2320200,0.533463525,0.488764214,1,1,0
19,14-06-2019,17.959999,19.450001,17.799999,19.23,19.23,3669600,0.469238966,0.486323052,0,1,1
20,17-06-2019,19.68,21.290001,19.639999,21.17,21.17,7960700,0.595768435,0.532823642,1,1,0
21,18-06-2019,21.76,21.799999,20.299999,20.700001,20.700001,4553700,0.605691057,0.556899486,1,0,1
22,19-06-2019,21.08,21.08,19.6,19.940001,19.940001,3524700,0.46875,0.556736497,0,0,0
23,20-06-2019,20.08,20.780001,19.733999,19.790001,19.790001,3656500,0.45256167,0.509000909,0,0,0
24,21-06-2019,19.879999,19.879999,19,19.129999,19.129999,3261500,0.490039791,0.470450487,0,0,0
25,24-06-2019,19.16,19.440001,18,18.190001,18.190001,4052900,0.463782745,0.468794735,0,0,0
