,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
0,02-01-2019,22,22.360001,21.5,22.209999,22.209999,2034100,0.5,0.510933426,0,1,1
1,03-01-2019,21.82,22.200001,21.5,21.52,21.52,2688900,0.491818182,0.515372934,0,1,1
2,04-01-2019,22.200001,23.450001,21.860001,22.690001,22.690001,5085400,0.517415261,0.503077814,1,1,0
3,07-01-2019,22.860001,23.450001,22.690001,23.209999,23.209999,3287100,0.529729728,0.512987724,1,1,0
4,08-01-2019,23.6,24.200001,22.809999,24,24,3355000,0.532370908,0.526505299,1,1,0
5,09-01-2019,24.200001,26.280001,24.17,25.540001,25.540001,7321800,0.525423771,0.529174803,1,1,0
6,10-01-2019,24.790001,26.700001,24.639999,26.379999,26.379999,4956500,0.524380164,0.527391615,1,1,0
7,11-01-2019,26,26.370001,25.719999,26.16,26.16,2293000,0.548809962,0.532871299,1,0,1
8,14-01-2019,25.379999,25.799999,23.52,24.370001,24.370001,5526600,0.476153808,0.516447978,0,0,0
9,15-01-2019,24.790001,25.799999,23.9,24.41,24.41,6429100,0.476753427,0.500572399,0,0,0
10,16-01-2019,24.73,25.73,24.59,25.139999,25.139999,3801500,0.497579629,0.483495621,0,0,0
11,17-01-2019,24.780001,24.99,23.879999,24.540001,24.540001,3673000,0.502021876,0.492118311,1,1,0
12,18-01-2019,25,25.440001,23.959999,24.99,24.99,5435600,0.508878087,0.502826531,1,1,0
13,22-01-2019,24,26.459999,23.889999,25.17,25.17,8955600,0.46,0.490299988,0,1,1
14,23-01-2019,25.629999,27.129999,25.6,26.67,26.67,6518000,0.567916625,0.512264904,1,1,0
15,24-01-2019,26.809999,28.780001,26.76,28.74,28.74,8311000,0.546039799,0.524652141,1,1,0
16,25-01-2019,28.74,29.549999,27.93,29.5,29.5,5513700,0.571988104,0.561981509,1,1,0
17,28-01-2019,28.35,29.059999,28.209999,29,29,3325400,0.486430063,0.534819322,0,1,1
18,29-01-2019,28.780001,30.4,28.52,30.190001,30.190001,5238200,0.515167584,0.524528584,1,1,0
19,30-01-2019,30.200001,30.379999,28.32,28.82,28.82,6661300,0.549339818,0.516979155,1,0,1
20,31-01-2019,29,29.59,28.799999,29.209999,29.209999,3474200,0.460264869,0.508257423,0,0,0
21,01-02-2019,28.93,30.879999,28.92,28.959999,28.959999,4183100,0.497586207,0.502396964,0,1,1
22,04-02-2019,29.049999,30,28.5,29.93,29.93,2945200,0.504147909,0.487332995,1,0,1
23,05-02-2019,30,31.18,29.780001,30.33,30.33,3097800,0.532702273,0.511478796,1,0,1
24,06-02-2019,28.549999,29.33,27.889999,28,28,9598200,0.451666633,0.496172272,0,0,0
25,07-02-2019,27.65,27.65,26.35,26.51,26.51,8968300,0.468476391,0.484281766,0,0,0
26,08-02-2019,25.75,26.209999,25.5,25.950001,25.950001,32244000,0.431283906,0.450475643,0,1,1
27,11-02-2019,26.780001,27.799999,26.719999,26.74,26.74,13342100,0.540000039,0.479920112,1,1,0
28,12-02-2019,27.26,27.82,26.950001,26.950001,26.950001,8825500,0.517923786,0.496402577,1,1,0
29,13-02-2019,27.5,27.709999,26.530001,27.01,27.01,7691700,0.508804109,0.522242644,1,1,0
30,14-02-2019,27,27.42,26.610001,27.030001,27.030001,3727000,0.481818182,0.502848692,0,1,1
31,15-02-2019,27.17,28.08,26.9,27.52,27.52,5253300,0.506296296,0.498972862,1,1,0
32,19-02-2019,27.870001,29.52,27.52,29.09,29.09,8994100,0.525763747,0.504626075,1,1,0
33,20-02-2019,29.450001,30,29.01,29.33,29.33,7401700,0.556691781,0.529583941,1,1,0
34,21-02-2019,29.49,29.549999,28.219999,28.5,28.5,5593300,0.5013582,0.527937909,1,1,0
35,22-02-2019,29,29.51,28.950001,29.379999,29.379999,6594800,0.483384198,0.513811393,0,0,0
36,25-02-2019,30.700001,31,28.91,29.01,29.01,10262400,0.558620724,0.514454374,1,0,1
37,26-02-2019,28.68,29.290001,28.15,29.139999,29.139999,6046800,0.434201924,0.492068949,0,1,1
38,27-02-2019,29,29.5,28.42,28.559999,28.559999,5923500,0.511157601,0.50132675,1,1,0
39,28-02-2019,29,29.950001,28.4,29.940001,29.940001,27783300,0.5,0.481786508,0,1,1
40,01-03-2019,30.27,30.790001,29.879999,29.99,29.99,6119800,0.543793103,0.518316902,1,1,0
41,04-03-2019,30.139999,31.959999,30.139999,31.139999,31.139999,8554500,0.495705286,0.51316613,0,1,1
42,05-03-2019,31.530001,31.99,30.700001,30.780001,30.780001,4668900,0.546118183,0.528538858,1,0,1
43,06-03-2019,31.09,31.370001,29.5,29.99,29.99,5749000,0.486045005,0.509289491,0,0,0
44,07-03-2019,29.940001,29.99,28.42,29.09,29.09,5202100,0.463010647,0.498391278,0,0,0
45,08-03-2019,28.01,28.809999,28.01,28.459999,28.459999,4882400,0.435537711,0.461531121,0,1,1
46,11-03-2019,29.43,30.27,29.17,29.93,29.93,8469400,0.55069618,0.483081512,1,0,1
47,12-03-2019,30.469999,31.17,29.700001,30.43,30.43,10569700,0.535338056,0.507190649,1,0,1
48,13-03-2019,27.309999,27.9,24.700001,25.120001,25.120001,56122100,0.396291431,0.494108556,0,0,0
49,14-03-2019,25.290001,25.290001,24.360001,24.389999,24.389999,15930700,0.42603449,0.452554659,0,0,0
50,15-03-2019,24.950001,25.24,24.48,24.52,24.52,14894700,0.486555952,0.436293957,0,1,1
51,18-03-2019,24.99,26.08,24.75,25.83,25.83,13886800,0.501603166,0.471397869,1,0,1
52,19-03-2019,26,26.469999,25,25.26,25.26,12704300,0.540416166,0.509525095,1,0,1
53,20-03-2019,25.17,25.299999,24.049999,24.610001,24.610001,10836200,0.468076923,0.503365419,0,0,0
54,21-03-2019,24.43,25.07,24.379999,24.83,24.83,5450900,0.470599921,0.493031003,0,0,0
55,22-03-2019,24.73,24.879999,23.17,23.5,23.5,10020700,0.512279984,0.483652276,1,0,1
56,25-03-2019,23.299999,23.66,23.01,23.34,23.34,5595900,0.442175455,0.475018453,0,0,0
57,26-03-2019,23.66,23.91,23.1,23.360001,23.360001,4476500,0.515450687,0.489968709,1,1,0
58,27-03-2019,23.370001,24,23.200001,23.610001,23.610001,5092400,0.487743068,0.481789737,0,1,1
59,28-03-2019,23.76,23.950001,23.09,23.32,23.32,5364700,0.516688018,0.506627258,1,1,0
60,29-03-2019,23.790001,25.09,23.719999,24.799999,24.799999,10945300,0.501262668,0.501897918,1,1,0
61,01-04-2019,25.530001,25.66,24.01,24.67,24.67,7601700,0.573139972,0.530363553,1,0,1
62,02-04-2019,24.59,24.59,24.110001,24.459999,24.459999,4058800,0.463180534,0.512527725,0,0,0
63,03-04-2019,24.75,25.030001,23.190001,23.51,23.51,12501500,0.50650671,0.514275739,1,0,1
64,04-04-2019,23.110001,23.17,22.360001,22.6,22.6,14264500,0.433737414,0.467808219,0,0,0
65,05-04-2019,22.73,22.799999,21.299999,21.6,21.6,19112200,0.483556859,0.474600328,0,0,0
66,08-04-2019,21.790001,22.43,21.41,21.83,21.83,10407400,0.458645007,0.458646427,0,0,0
67,09-04-2019,21.860001,22.5,21.5,22.35,22.35,5875200,0.503212483,0.481804783,1,1,0
68,10-04-2019,22.43,23.299999,21.879999,21.950001,21.950001,8009100,0.526074976,0.495977488,1,0,1
69,11-04-2019,21.84,22.09,21.610001,21.67,21.67,3895600,0.473695943,0.500994467,0,0,0
70,12-04-2019,22.059999,22.360001,21.4,21.690001,21.690001,7697700,0.510073214,0.503281378,1,1,0
71,15-04-2019,21.9,22.17,21.51,22.01,22.01,6901700,0.492747098,0.492172085,0,1,1
72,16-04-2019,22.35,23.1,22.1,22.5,22.5,7201600,0.520547945,0.507789419,1,1,0
73,17-04-2019,23.1,23.559999,22.74,23.02,23.02,5907300,0.533557047,0.515617364,1,1,0
74,18-04-2019,23.129999,23.76,23.049999,23.549999,23.549999,5208400,0.501298658,0.518467883,1,1,0
75,22-04-2019,23.459999,24.110001,23.26,24,24,5323700,0.514267186,0.516374297,1,1,0
76,23-04-2019,24.280001,24.83,24.200001,24.43,24.43,6073700,0.534953198,0.516839681,1,0,1
77,24-04-2019,24.299999,24.370001,23.360001,23.940001,23.940001,6964600,0.500823641,0.516681342,1,0,1
78,25-04-2019,23.620001,23.620001,22.809999,23.07,23.07,7138200,0.472016542,0.502597794,0,0,0
79,26-04-2019,22.85,23,21.76,21.92,21.92,13269600,0.467400467,0.480080217,0,0,0
80,29-04-2019,22,22.4,22,22.280001,22.280001,4429200,0.462800875,0.467405961,0,1,1
81,30-04-2019,22.01,22.469999,21.93,22.23,22.23,4645300,0.500454545,0.476885296,1,1,0
82,01-05-2019,22.18,23.620001,21.6,23.299999,23.299999,7309900,0.507723762,0.490326394,1,1,0
83,02-05-2019,23.27,23.639999,22.889999,23.129999,23.129999,4471900,0.549143372,0.519107227,1,1,0
84,03-05-2019,23.450001,24.040001,23.299999,23.959999,23.959999,4956900,0.507735324,0.521534153,1,0,1
85,06-05-2019,22.5,23.780001,22.469999,23.74,23.74,6698400,0.459488232,0.505455643,0,0,0
86,07-05-2019,23.4,23.74,22.469999,22.82,22.82,5378200,0.54,0.502407852,1,0,1
87,08-05-2019,22.77,23.48,22.309999,23.190001,23.190001,5858400,0.473076923,0.490855052,0,0,0
88,09-05-2019,22.629999,23.33,21.610001,23.129999,23.129999,6359700,0.493851515,0.502309479,0,0,0
89,10-05-2019,22.6,22.98,21.799999,22.4,22.4,7946100,0.49867437,0.488534269,0,0,0
90,13-05-2019,21.51,21.51,20.58,20.75,20.75,13826000,0.451769912,0.481431932,0,1,1
91,14-05-2019,21.26,22.200001,20.98,22.15,22.15,8332500,0.488377499,0.47960726,0,1,1
92,15-05-2019,22.209999,22.26,21.6,22.030001,22.030001,6364600,0.544684807,0.494944072,1,1,0
93,16-05-2019,22.200001,23.23,22.049999,22.860001,22.860001,9291000,0.499549842,0.510870716,0,0,0
94,17-05-2019,22.200001,23.4,22.129999,22.700001,22.700001,10572600,0.5,0.514744883,0,0,0
95,20-05-2019,21.51,21.610001,20,20.780001,20.780001,26784900,0.468918875,0.489489573,0,0,0
96,21-05-2019,21.24,22.059999,21.209999,21.52,21.52,8945200,0.487447699,0.485455525,0,0,0
97,22-05-2019,21.299999,21.299999,20.08,20.459999,20.459999,10456400,0.502824812,0.486397129,1,0,1
98,23-05-2019,20.129999,20.99,19.950001,20.530001,20.530001,8147200,0.44507042,0.478447643,0,0,0
99,24-05-2019,20.799999,20.98,20.139999,20.280001,20.280001,3124200,0.533283658,0.493726297,1,0,1
100,28-05-2019,20.51,20.540001,19.950001,20.23,20.23,7613600,0.48605774,0.488137273,0,0,0
101,29-05-2019,20,20.129999,19.540001,19.98,19.98,5740300,0.475134081,0.498158493,0,0,0
102,30-05-2019,20.049999,20.17,19.32,19.65,19.65,4987500,0.50249995,0.487897257,1,0,1
103,31-05-2019,19.290001,19.559999,19.120001,19.42,19.42,4569800,0.462094861,0.479909631,0,0,0
104,03-06-2019,19.379999,19.379999,18.459999,19.030001,19.030001,6404800,0.504665526,0.489753446,1,0,1
105,04-06-2019,19.18,19.719999,18.959999,19.280001,19.280001,6081100,0.489680134,0.485480174,0,1,1
106,05-06-2019,19.290001,19.370001,18.84,19.129999,19.129999,3951600,0.505735193,0.500026951,1,1,0
107,06-06-2019,19.09,19.639999,19,19.370001,19.370001,4101400,0.489631882,0.495015736,0,1,1
108,07-06-2019,19.49,20.129999,19.459999,19.780001,19.780001,3391700,0.520953379,0.505440151,1,1,0
109,10-06-2019,20.25,20.950001,20.15,20.200001,20.200001,4994700,0.538994356,0.516526539,1,1,0
110,11-06-2019,20.559999,20.75,19.99,20.049999,20.049999,4035500,0.515308593,0.525085442,1,1,0
111,12-06-2019,19.9,20.459999,19.639999,20.41,20.41,4362700,0.46789888,0.507400609,0,1,1
112,13-06-2019,20.690001,21.08,20.4,20.469999,20.469999,4121800,0.539698543,0.507635338,1,1,0
113,14-06-2019,20.290001,20.559999,19.93,20.51,20.51,2631100,0.48066699,0.496088137,0,1,1
114,17-06-2019,20.5,20.870001,20.370001,20.59,20.59,2690300,0.510349876,0.51023847,1,1,0
115,18-06-2019,20.950001,21.309999,20.82,20.889999,20.889999,7482900,0.521951268,0.504322711,1,1,0
116,19-06-2019,21.290001,21.299999,20.24,20.959999,20.959999,4221200,0.516229116,0.516176754,1,0,1
117,20-06-2019,21.5,21.780001,20.620001,20.950001,20.950001,6480800,0.509863738,0.516014708,1,0,1
118,21-06-2019,20.879999,21.299999,20.76,21.049999,21.049999,6801100,0.471162744,0.4990852,0,0,0
119,24-06-2019,21.040001,21.139999,20.559999,20.75,20.75,3552300,0.507662931,0.496229805,1,0,1
